mode,dx,dt,seed,size,time,maximum,total_v,minimum,spots_0.15,spots_0.2,spots_0.25
seeded,1.0,1.0,0,96.0,0.0,0.25990193010470647,17.353722610422786,0.0,1,1,3
seeded,1.0,1.0,0,96.0,100.0,0.3061334463953166,43.12916211158584,5.769620719965806e-62,1,1,1
seeded,1.0,1.0,0,96.0,200.0,0.3059824442996482,45.21523909509216,7.321152749318163e-36,1,1,1
seeded,1.0,1.0,0,96.0,300.0,0.31735565381436365,49.64330893186429,8.029231411292646e-31,1,1,1
seeded,1.0,1.0,0,96.0,400.0,0.3488756680852405,56.20898815009391,2.573484484230555e-29,1,1,3
seeded,1.0,1.0,0,96.0,500.0,0.36838887796681863,62.670217953126965,5.981479204669882e-29,1,3,3
seeded,1.0,1.0,0,96.0,600.0,0.3821405158465176,71.84358583549725,1.0584879088172694e-28,3,3,4
seeded,1.0,1.0,0,96.0,700.0,0.3814751721699693,85.122457149566,2.398713141228426e-28,3,4,4
seeded,1.0,1.0,0,96.0,800.0,0.3623399229781544,94.6160157468659,9.147616057951808e-28,4,4,4
seeded,1.0,1.0,0,96.0,900.0,0.36084803442155255,106.92991090323679,6.402588100492137e-27,4,4,4
seeded,1.0,1.0,0,96.0,1000.0,0.3806831261505553,119.80559027381776,5.523059583378339e-26,4,4,6
seeded,1.0,1.0,0,96.0,1100.0,0.37769734016625917,133.19404689679146,3.0852353330574117e-25,4,6,6
seeded,1.0,1.0,0,96.0,1200.0,0.3759457895122174,144.16940823516518,8.685283743762214e-25,6,6,8
seeded,1.0,1.0,0,96.0,1300.0,0.37766180288378315,156.82043260829266,1.603653863316534e-24,7,8,8
seeded,1.0,1.0,0,96.0,1400.0,0.3751536051079188,167.10727765553685,2.675412799266483e-24,8,8,8
seeded,1.0,1.0,0,96.0,1500.0,0.37154519790302565,181.3984911067559,7.48320512695124e-24,8,8,8
seeded,1.0,1.0,0,96.0,1600.0,0.36821132491142183,195.18840436027756,3.0840228586497225e-23,8,8,8
seeded,1.0,1.0,0,96.0,1700.0,0.3893299930990347,215.91201293252868,1.6477125107702245e-22,8,8,10
seeded,1.0,1.0,0,96.0,1800.0,0.3926047139443534,249.30919563140992,8.521220201917098e-22,8,10,11
seeded,1.0,1.0,0,96.0,1900.0,0.39555689763095525,290.29821817713713,4.3123758840442295e-21,10,12,15
seeded,1.0,1.0,0,96.0,2000.0,0.38138040798499145,327.49622138525933,2.453420937698917e-20,15,15,16
seeded,1.0,1.0,0,96.0,2100.0,0.3834380949891535,366.6721198391512,1.7867791481368848e-19,16,16,18
seeded,1.0,1.0,0,96.0,2200.0,0.3876173256282225,407.1229702254988,1.17008236011328e-18,18,18,21
seeded,1.0,1.0,0,96.0,2300.0,0.38286638854152316,440.0046518934171,5.605997632730497e-18,20,21,23
seeded,1.0,1.0,0,96.0,2400.0,0.37410382129399694,459.5694732188968,2.0213741558667687e-17,22,23,24
seeded,1.0,1.0,0,96.0,2500.0,0.38255718009794976,491.42354255986277,6.42748095168738e-17,23,24,24
seeded,1.0,1.0,0,96.0,2600.0,0.3953933444446453,534.3580069525802,2.7253137467365807e-16,24,24,27
seeded,1.0,1.0,0,96.0,2700.0,0.38751302172851093,582.3720190851914,1.6865216327729381e-15,26,27,28
seeded,1.0,1.0,0,96.0,2800.0,0.3878973108475475,632.1158738240744,1.2865484969456825e-14,27,29,33
seeded,1.0,1.0,0,96.0,2900.0,0.38142970823310707,673.5709868351796,1.1867163174531417e-13,31,34,34
seeded,1.0,1.0,0,96.0,3000.0,0.3843687815811718,721.9465382467255,9.18878545654259e-13,32,35,37
seeded,1.0,1.0,0,96.0,3100.0,0.39347786914277716,765.7805564150981,4.489240658949034e-12,33,37,40
seeded,1.0,1.0,0,96.0,3200.0,0.38492424774486034,801.7496272441849,1.5587942869486418e-11,36,39,42
seeded,1.0,1.0,0,96.0,3300.0,0.3937570057695505,838.9936252026275,5.307994031474803e-11,41,41,44
seeded,1.0,1.0,0,96.0,3400.0,0.3865059986775926,863.9544635803627,1.9530870775365943e-10,43,45,47
seeded,1.0,1.0,0,96.0,3500.0,0.3736280082121428,884.8128423546057,6.321202177559524e-10,45,46,47
seeded,1.0,1.0,0,96.0,3600.0,0.3764143068666429,900.4340668696314,2.040054253882497e-09,46,47,48
seeded,1.0,1.0,0,96.0,3700.0,0.38811181897035896,916.9070615526489,7.143186485239657e-09,47,47,49
seeded,1.0,1.0,0,96.0,3800.0,0.3912956444088289,936.7889343854572,2.638791823395998e-08,48,48,51
seeded,1.0,1.0,0,96.0,3900.0,0.3943821974159356,956.4274297313574,1.242083630317682e-07,49,50,53
seeded,1.0,1.0,0,96.0,4000.0,0.3862398308390101,970.2619930303377,7.167690384603034e-07,51,51,55
seeded,1.0,1.0,1,96.0,0.0,0.2599228238023726,17.257052448938634,0.0,1,1,3
seeded,1.0,1.0,1,96.0,100.0,0.3079617091794899,42.9966929341009,5.770926976165283e-62,1,1,1
seeded,1.0,1.0,1,96.0,200.0,0.3109670582452906,45.01685011451983,7.301135493087004e-36,1,1,1
seeded,1.0,1.0,1,96.0,300.0,0.32256393539533584,49.41468404644422,7.867726218970064e-31,1,1,1
seeded,1.0,1.0,1,96.0,400.0,0.3630186956265502,55.62134199597022,2.520700513695717e-29,1,1,1
seeded,1.0,1.0,1,96.0,500.0,0.3870957934282149,63.047975714740936,5.881155319868108e-29,1,1,3
seeded,1.0,1.0,1,96.0,600.0,0.3752347609754183,74.30043295224291,1.0512027892345837e-28,2,3,3
seeded,1.0,1.0,1,96.0,700.0,0.3854725768864687,82.79822696020979,2.5262316269182994e-28,3,3,4
seeded,1.0,1.0,1,96.0,800.0,0.3732527328304382,94.83145233739083,1.015108670659135e-27,4,4,4
seeded,1.0,1.0,1,96.0,900.0,0.3723245730675454,105.93795851124062,6.0575602907394434e-27,4,4,4
seeded,1.0,1.0,1,96.0,1000.0,0.3793464996389634,119.58673246009545,4.321129082904722e-26,4,4,6
seeded,1.0,1.0,1,96.0,1100.0,0.37491050114678487,129.2394413437099,2.354053213359309e-25,5,6,6
seeded,1.0,1.0,1,96.0,1200.0,0.3725697625943686,141.50654960087058,7.41250641854217e-25,6,6,7
seeded,1.0,1.0,1,96.0,1300.0,0.3774099844552471,155.6650009499702,1.577567488811592e-24,6,7,8
seeded,1.0,1.0,1,96.0,1400.0,0.37621474847148406,165.09408442085245,3.247455352587151e-24,7,8,8
seeded,1.0,1.0,1,96.0,1500.0,0.3722484995266445,176.84831082254289,7.580221889677425e-24,8,8,8
seeded,1.0,1.0,1,96.0,1600.0,0.3697578541005766,191.44122274813304,2.3919974296096485e-23,8,8,8
seeded,1.0,1.0,1,96.0,1700.0,0.4024506197594334,213.4279624982199,9.802970334515391e-23,8,8,10
seeded,1.0,1.0,1,96.0,1800.0,0.4064427544756828,241.25603736635725,4.5845430634749595e-22,9,10,11
seeded,1.0,1.0,1,96.0,1900.0,0.4014945475197373,273.4199427323757,2.328338895871594e-21,11,11,12
seeded,1.0,1.0,1,96.0,2000.0,0.39118849375429154,312.6443492242099,1.521919678092526e-20,12,13,14
seeded,1.0,1.0,1,96.0,2100.0,0.3807622913568121,344.5006908325805,1.1743440246784819e-19,13,14,16
seeded,1.0,1.0,1,96.0,2200.0,0.378987228726002,367.48455454295936,6.126363371599347e-19,16,17,19
seeded,1.0,1.0,1,96.0,2300.0,0.373777971570762,387.5080564477118,2.7546600536483185e-18,17,19,19
seeded,1.0,1.0,1,96.0,2400.0,0.37655726996438066,411.53511507928374,1.1803761880089018e-17,19,19,20
seeded,1.0,1.0,1,96.0,2500.0,0.38377869059162356,441.3184507040495,4.31837350261257e-17,20,20,21
seeded,1.0,1.0,1,96.0,2600.0,0.3830794055771803,472.3984900658726,2.1119198406094506e-16,21,21,21
seeded,1.0,1.0,1,96.0,2700.0,0.3905467387872848,517.5998339237901,1.384498356445768e-15,21,21,24
seeded,1.0,1.0,1,96.0,2800.0,0.39127374482251426,565.282448931922,9.053576535792818e-15,21,24,27
seeded,1.0,1.0,1,96.0,2900.0,0.3895395598088007,606.1786724335868,5.69162840707862e-14,26,28,30
seeded,1.0,1.0,1,96.0,3000.0,0.39166809772451366,647.9500947365693,3.0573187300567014e-13,29,29,32
seeded,1.0,1.0,1,96.0,3100.0,0.37954372182468793,679.2686770508515,1.5023058760675528e-12,31,32,33
seeded,1.0,1.0,1,96.0,3200.0,0.3792932173243488,713.2786266670801,6.256807158700597e-12,33,33,37
seeded,1.0,1.0,1,96.0,3300.0,0.38649433575313163,744.3647260395742,2.5706256627456204e-11,33,35,38
seeded,1.0,1.0,1,96.0,3400.0,0.3808936520982381,770.0223722649578,1.1084095489741765e-10,35,37,39
seeded,1.0,1.0,1,96.0,3500.0,0.3727054263423609,800.0901496711634,5.429653863646323e-10,37,37,41
seeded,1.0,1.0,1,96.0,3600.0,0.38431004732838336,835.102285732124,2.7510066188895128e-09,37,39,45
seeded,1.0,1.0,1,96.0,3700.0,0.38341582253576545,865.2272404946993,1.307690777872978e-08,41,42,46
seeded,1.0,1.0,1,96.0,3800.0,0.3883696090998596,893.3017282748681,7.395557798657492e-08,42,43,49
seeded,1.0,1.0,1,96.0,3900.0,0.3809813809032343,914.2680204011533,4.788785181076892e-07,47,48,51
seeded,1.0,1.0,1,96.0,4000.0,0.39539017891752354,931.3475947418406,2.665888149814532e-06,49,49,52
seeded,1.0,1.0,2,96.0,0.0,0.259637666863902,17.25108511586528,0.0,1,1,1
seeded,1.0,1.0,2,96.0,100.0,0.3099532510905785,42.98973747483866,5.708672714229458e-62,1,1,1
seeded,1.0,1.0,2,96.0,200.0,0.3150898392642131,44.98345756361955,7.250420352516347e-36,1,1,1
seeded,1.0,1.0,2,96.0,300.0,0.3302811583970907,49.254044840272925,7.870658854824835e-31,1,1,1
