copy_rate,restoring,horizon,initial_trait,reproduction_radius,survival_at_horizon,eventual_survival,timestep_difference,residual,trials,extinct,alive_at_horizon,censored,mc_survival_lower,mc_survival_upper
0.08,0.0,2.0,1.5,0.476059873630409,0.4825499726390482,1.4135359549527493e-12,4.468647674116255e-14,1.9902457459981986e-12,1000,517,483,0,0.483,0.483
0.08,0.0,8.0,1.5,0.476059873630409,0.07810043171683345,1.4135359549527493e-12,1.2434497875801753e-14,1.9902457459981986e-12,1000,902,98,0,0.098,0.098
0.08,0.0,20.0,1.5,0.476059873630409,0.00331301680070073,1.4135359549527493e-12,1.4432899320127035e-15,1.9902457459981986e-12,1000,996,4,0,0.004,0.004
0.08,0.7,2.0,1.5,0.21901415900164184,0.47880432845171184,3.9013237085328e-13,4.5075054799781356e-14,5.382787549026863e-12,1000,505,495,0,0.495,0.495
0.08,0.7,8.0,1.5,0.21901415900164184,0.06730809280277172,3.9013237085328e-13,1.2989609388114332e-14,5.382787549026863e-12,1000,927,73,0,0.073,0.073
0.08,0.7,20.0,1.5,0.21901415900164184,0.0015503365828821725,3.9013237085328e-13,8.881784197001252e-16,5.382787549026863e-12,1000,997,3,0,0.003,0.003
0.22,0.0,2.0,1.5,1.3091646524836253,0.5379773617872103,0.056669787461720356,1.3433698597964394e-13,2.5361379663024763e-12,1000,460,540,0,0.54,0.54
0.22,0.0,8.0,1.5,1.3091646524836253,0.1935560361917137,0.056669787461720356,1.5432100042289676e-14,2.5361379663024763e-12,1000,808,192,0,0.192,0.192
0.22,0.0,20.0,1.5,1.3091646524836253,0.08034034172313231,0.056669787461720356,2.7755575615628914e-15,2.5361379663024763e-12,1000,927,71,2,0.071,0.073
0.22,0.7,2.0,1.5,0.6022889372545148,0.5285462210240532,1.992184195387381e-12,1.5354384430565915e-13,6.6377947583336525e-12,1000,465,535,0,0.535,0.535
0.22,0.7,8.0,1.5,0.6022889372545148,0.1444210155589979,1.992184195387381e-12,9.769962616701378e-15,6.6377947583336525e-12,1000,869,131,0,0.131,0.131
0.22,0.7,20.0,1.5,0.6022889372545148,0.018410341540967767,1.992184195387381e-12,2.9976021664879227e-15,6.6377947583336525e-12,1000,986,14,0,0.014,0.014
0.4,0.0,2.0,1.5,2.380299368152044,0.6024207109053679,0.33703600482372065,4.4958481382195714e-13,1.5273338149768279e-12,1000,375,625,0,0.625,0.625
0.4,0.0,8.0,1.5,2.380299368152044,0.38538499267118564,0.33703600482372065,1.609823385706477e-14,1.5273338149768279e-12,1000,606,379,15,0.379,0.394
0.4,0.0,20.0,1.5,2.380299368152044,0.340509512106694,0.33703600482372065,7.771561172376096e-16,1.5273338149768279e-12,1000,647,42,311,0.042,0.353
0.4,0.7,2.0,1.5,1.0950707950082101,0.5876847912800218,0.10079336153385854,3.821387650759789e-13,7.806796875620137e-12,1000,411,589,0,0.589,0.589
0.4,0.7,8.0,1.5,1.0950707950082101,0.29547011165441395,0.10079336153385854,1.199040866595169e-14,7.806796875620137e-12,1000,724,276,0,0.276,0.276
0.4,0.7,20.0,1.5,1.0950707950082101,0.17294533092649633,0.10079336153385854,6.994405055138486e-15,7.806796875620137e-12,1000,845,155,0,0.155,0.155
