mode,control,seed,generation,positive_fraction,mean_response,parent_child_corr,total_flow,work_in,work_spent,duration
gated,faithful,0,1,0.67578125,1.1338739727265992,0.9292759092805329,1.0,256.0,256.0,256.0
gated,faithful,0,2,0.79296875,1.2231232878776654,0.8019691101259068,0.9999999999999999,256.0,256.0,256.0
gated,faithful,0,3,0.85546875,1.2707229226249006,0.7102014096279451,1.0,256.0,256.0,256.0
gated,faithful,0,4,0.875,1.2855978084834119,0.6600641236295944,0.9999999999999998,256.0,256.0,256.0
gated,faithful,0,5,0.87890625,1.2885727856551141,0.7396602329385797,0.9999999999999998,256.0,256.0,256.0
gated,faithful,0,6,0.9375,1.333197443230647,0.7062046123204374,0.9999999999999999,256.0,256.0,256.0
gated,faithful,0,7,0.91796875,1.318322557372136,0.638553165047555,1.0000000000000004,256.0,256.0,256.0
gated,faithful,0,8,0.91796875,1.318322557372136,0.638625896381178,1.0,256.0,256.0,256.0
gated,faithful,0,9,0.9453125,1.3391473975740515,0.5305347669302026,1.0,256.0,256.0,256.0
gated,faithful,0,10,0.921875,1.3212975345438382,0.5321653878260029,1.0,256.0,256.0,256.0
gated,faithful,0,11,0.9296875,1.3272474888872428,0.5159952313197776,1.0,256.0,256.0,256.0
gated,faithful,0,12,0.89453125,1.300472694341923,0.6736035983063575,1.0,256.0,256.0,256.0
gated,faithful,0,13,0.8984375,1.303447671513625,0.5664485684859282,1.0,256.0,256.0,256.0
gated,faithful,0,14,0.94921875,1.3421223747457538,0.7249045189755269,1.0000000000000002,256.0,256.0,256.0
gated,faithful,0,15,0.9453125,1.3391473975740515,0.6970966755769257,1.0000000000000002,256.0,256.0,256.0
gated,faithful,0,16,0.9375,1.333197443230647,0.6000000000000001,1.0,256.0,256.0,256.0
gated,faithful,0,17,0.93359375,1.3302224660589448,0.5808715561170837,1.0000000000000004,256.0,256.0,256.0
gated,faithful,0,18,0.921875,1.321297534543838,0.7278708115918284,1.0000000000000004,256.0,256.0,256.0
gated,faithful,0,19,0.921875,1.3212975345438385,0.7617925366216572,1.0,256.0,256.0,256.0
gated,faithful,0,20,0.90234375,1.3064226486853272,0.7311261550139309,1.0,256.0,256.0,256.0
gated,faithful,0,21,0.90625,1.3093976258570295,0.6268603748358126,1.0,256.0,256.0,256.0
gated,faithful,0,22,0.89453125,1.300472694341923,0.5230642186404871,0.9999999999999998,256.0,256.0,256.0
gated,faithful,0,23,0.875,1.2855978084834119,0.5867386940384682,1.0,256.0,256.0,256.0
gated,faithful,0,24,0.9140625,1.3153475802004337,0.7231293236923722,0.9999999999999998,256.0,256.0,256.0
gated,faithful,0,25,0.90625,1.3093976258570295,0.6268603748358126,0.9999999999999997,256.0,256.0,256.0
gated,faithful,0,26,0.86328125,1.2766728769683051,0.6910506641398756,0.9999999999999998,256.0,256.0,256.0
gated,faithful,0,27,0.88671875,1.2945227399985186,0.8359214062311061,0.9999999999999998,256.0,256.0,256.0
gated,faithful,0,28,0.92578125,1.3242725117155405,0.7483601837045065,1.0000000000000002,256.0,256.0,256.0
gated,faithful,0,29,0.9375,1.333197443230647,0.6493741194318972,0.9999999999999998,256.0,256.0,256.0
gated,faithful,0,30,0.921875,1.3212975345438382,0.48482962054331546,1.0000000000000004,256.0,256.0,256.0
gated,faithful,0,31,0.90625,1.3093976258570295,0.5934869169979851,1.0,256.0,256.0,256.0
gated,faithful,0,32,0.91796875,1.3183225573721362,0.7088226458331236,0.9999999999999998,256.0,256.0,256.0
gated,faithful,0,33,0.92578125,1.3242725117155405,0.59217043254409,1.0,256.0,256.0,256.0
gated,faithful,0,34,0.921875,1.3212975345438382,0.6929299344411685,0.9999999999999998,256.0,256.0,256.0
gated,faithful,0,35,0.90234375,1.3064226486853272,0.7848566748139434,1.0,256.0,256.0,256.0
gated,faithful,0,36,0.91015625,1.3123726030287317,0.5716539327196384,1.0,256.0,256.0,256.0
gated,faithful,0,37,0.94140625,1.3361724204023493,0.6720664848860528,1.0,256.0,256.0,256.0
gated,faithful,0,38,0.95703125,1.348072329089158,0.513909997419158,1.0,256.0,256.0,256.0
gated,faithful,0,39,0.9375,1.333197443230647,0.42174116783664994,1.0000000000000002,256.0,256.0,256.0
gated,faithful,0,40,0.9296875,1.3272474888872425,0.6951455987888571,1.0000000000000004,256.0,256.0,256.0
gated,faithful,1,1,0.65234375,1.116024109696386,0.8966633105487889,1.0,256.0,256.0,256.0
gated,faithful,1,2,0.796875,1.2260982650493677,0.8119931715861705,1.0,256.0,256.0,256.0
gated,faithful,1,3,0.87890625,1.2885727856551141,0.7406208306250736,1.0,256.0,256.0,256.0
gated,faithful,1,4,0.8984375,1.303447671513625,0.7413009212816987,0.9999999999999999,256.0,256.0,256.0
gated,faithful,1,5,0.890625,1.2974977171702207,0.7119106928665031,1.0000000000000002,256.0,256.0,256.0
gated,faithful,1,6,0.88671875,1.2945227399985184,0.6729305801405003,1.0000000000000002,256.0,256.0,256.0
gated,faithful,1,7,0.90625,1.3093976258570295,0.7753858796454598,1.0000000000000002,256.0,256.0,256.0
gated,faithful,1,8,0.89453125,1.3004726943419227,0.7767144222053962,0.9999999999999998,256.0,256.0,256.0
gated,faithful,1,9,0.8984375,1.303447671513625,0.661102757661236,1.0,256.0,256.0,256.0
gated,faithful,1,10,0.92578125,1.3242725117155405,0.7832367963816639,1.0000000000000002,256.0,256.0,256.0
gated,faithful,1,11,0.93359375,1.3302224660589448,0.6397614422944548,0.9999999999999998,256.0,256.0,256.0
gated,faithful,1,12,0.92578125,1.3242725117155405,0.6741711297025709,1.0000000000000004,256.0,256.0,256.0
gated,faithful,1,13,0.93359375,1.330222466058945,0.6286715920942785,0.9999999999999998,256.0,256.0,256.0
gated,faithful,1,14,0.9296875,1.3272474888872425,0.6111491695616019,1.0000000000000004,256.0,256.0,256.0
gated,faithful,1,15,0.91015625,1.3123726030287315,0.5396900323786542,1.0,256.0,256.0,256.0
gated,faithful,1,16,0.90234375,1.3064226486853272,0.6118558353239938,1.0,256.0,256.0,256.0
gated,faithful,1,17,0.91796875,1.318322557372136,0.5190050845026932,1.0,256.0,256.0,256.0
gated,faithful,1,18,0.9296875,1.3272474888872428,0.39596116443631874,1.0,256.0,256.0,256.0
gated,faithful,1,19,0.9296875,1.3272474888872428,0.5652774257967659,1.0,256.0,256.0,256.0
gated,faithful,1,20,0.90625,1.3093976258570295,0.7478159199547312,1.0,256.0,256.0,256.0
gated,faithful,1,21,0.94140625,1.3361724204023493,0.565732375642347,0.9999999999999998,256.0,256.0,256.0
gated,faithful,1,22,0.9140625,1.315347580200434,0.5857546452217234,1.0,256.0,256.0,256.0
gated,faithful,1,23,0.94921875,1.3421223747457538,0.5354733375143297,0.9999999999999997,256.0,256.0,256.0
gated,faithful,1,24,0.91015625,1.3123726030287317,0.449223206984457,1.0000000000000002,256.0,256.0,256.0
gated,faithful,1,25,0.87109375,1.2826228313117096,0.6932996353886787,1.0,256.0,256.0,256.0
gated,faithful,1,26,0.90234375,1.3064226486853272,0.7844884244060775,1.0,256.0,256.0,256.0
gated,faithful,1,27,0.921875,1.3212975345438382,0.6240673322606797,1.0,256.0,256.0,256.0
gated,faithful,1,28,0.9140625,1.315347580200434,0.6908551987073707,1.0,256.0,256.0,256.0
gated,faithful,1,29,0.9375,1.333197443230647,0.5466303878092528,0.9999999999999997,256.0,256.0,256.0
gated,faithful,1,30,0.91796875,1.318322557372136,0.4721417715050471,1.0000000000000004,256.0,256.0,256.0
gated,faithful,1,31,0.9296875,1.3272474888872425,0.6542778648958896,1.0,256.0,256.0,256.0
gated,faithful,1,32,0.89453125,1.300472694341923,0.5856833508202793,1.0,256.0,256.0,256.0
gated,faithful,1,33,0.890625,1.2974977171702204,0.632825713822488,1.0,256.0,256.0,256.0
gated,faithful,1,34,0.93359375,1.3302224660589448,0.6305449790265228,1.0000000000000002,256.0,256.0,256.0
gated,faithful,1,35,0.93359375,1.330222466058945,0.7171251311123009,1.0000000000000004,256.0,256.0,256.0
gated,faithful,1,36,0.9453125,1.3391473975740515,0.5917503066585709,1.0000000000000004,256.0,256.0,256.0
gated,faithful,1,37,0.91015625,1.3123726030287317,0.449223206984457,1.0,256.0,256.0,256.0
gated,faithful,1,38,0.92578125,1.3242725117155403,0.59217043254409,1.0,256.0,256.0,256.0
gated,faithful,1,39,0.90234375,1.3064226486853272,0.6128700972453796,0.9999999999999998,256.0,256.0,256.0
gated,faithful,1,40,0.94140625,1.3361724204023493,0.7651307739299047,1.0,256.0,256.0,256.0
gated,faithful,2,1,0.65625,1.1189990868680884,0.8871739648127472,1.0,256.0,256.0,256.0
gated,faithful,2,2,0.796875,1.2260982650493675,0.9023433450393038,0.9999999999999999,256.0,256.0,256.0
gated,faithful,2,3,0.86328125,1.2766728769683051,0.7883553973064533,1.0,256.0,256.0,256.0
gated,faithful,2,4,0.8671875,1.2796478541400074,0.7630732390558074,0.9999999999999998,256.0,256.0,256.0
gated,faithful,2,5,0.92578125,1.3242725117155405,0.718397797834236,0.9999999999999998,256.0,256.0,256.0
gated,faithful,2,6,0.94921875,1.3421223747457538,0.6102103956328507,0.9999999999999998,256.0,256.0,256.0
gated,faithful,2,7,0.91796875,1.3183225573721362,0.638553165047555,1.0000000000000002,256.0,256.0,256.0
