intervals,transit,damage,restoring,critical_copy_coefficient
16,0.0,state_dependent,0.0,0.17179560994428855
16,0.0,state_dependent,0.7,0.3579561044037437
16,0.0,constant,0.0,0.17179560994428855
16,0.0,constant,0.7,0.3579561044037437
16,20.0,state_dependent,0.0,0.4644655699770708
16,20.0,state_dependent,0.7,0.5638058727547448
16,20.0,constant,0.0,0.256288933861236
16,20.0,constant,0.7,0.534007757220961
16,30.0,state_dependent,0.0,0.6883357035272978
16,30.0,state_dependent,0.7,0.7056942971207856
16,30.0,constant,0.0,0.3130320107040437
16,30.0,constant,0.7,0.6522385475486094
16,40.0,state_dependent,0.0,0.9304057692368372
16,40.0,state_dependent,0.7,0.881968118920065
16,40.0,constant,0.0,0.3823381612663419
16,40.0,constant,0.7,0.7966459609542555
16,60.0,state_dependent,0.0,1.5561266246449466
16,60.0,state_dependent,0.7,1.372272388668133
16,60.0,constant,0.0,0.5703815118278794
16,60.0,constant,0.7,1.1884561198277206
32,0.0,state_dependent,0.0,0.17370480447692935
32,0.0,state_dependent,0.7,0.35378860286759867
32,0.0,constant,0.0,0.17370480447692935
32,0.0,constant,0.7,0.35378860286759867
32,20.0,state_dependent,0.0,0.4641402937212613
32,20.0,state_dependent,0.7,0.559314734639231
32,20.0,constant,0.0,0.25913711741763185
32,20.0,constant,0.7,0.5277905755018825
32,30.0,state_dependent,0.0,0.6864249338691084
32,30.0,state_dependent,0.7,0.7018455365973255
32,30.0,constant,0.0,0.31651078995557136
32,30.0,constant,0.7,0.6446448646489422
32,40.0,state_dependent,0.0,0.9319986167092768
32,40.0,state_dependent,0.7,0.8796693658744841
32,40.0,constant,0.0,0.38658715183918824
32,40.0,constant,0.7,0.7873710157160083
32,60.0,state_dependent,0.0,1.577072765086193
32,60.0,state_dependent,0.7,1.3775939223181877
32,60.0,constant,0.0,0.5767202609044976
32,60.0,constant,0.7,1.174619527452031
64,0.0,state_dependent,0.0,0.17466574162198534
64,0.0,state_dependent,0.7,0.351683766933963
64,0.0,constant,0.0,0.17466574162198534
64,0.0,constant,0.7,0.351683766933963
64,20.0,state_dependent,0.0,0.46393370004360285
64,20.0,state_dependent,0.7,0.5570641678823832
64,20.0,constant,0.0,0.2605706671835063
64,20.0,constant,0.7,0.5246505292716028
64,30.0,state_dependent,0.0,0.6854724642231245
64,30.0,state_dependent,0.7,0.6999157840346835
64,30.0,constant,0.0,0.31826173159357096
64,30.0,constant,0.7,0.6408096035225271
64,40.0,state_dependent,0.0,0.93287495029577
64,40.0,state_dependent,0.7,0.878515712719232
64,40.0,constant,0.0,0.3887257567852192
64,40.0,constant,0.7,0.7826866171979425
64,60.0,state_dependent,0.0,1.5880481594647546
64,60.0,state_dependent,0.7,1.3803023980605222
64,60.0,constant,0.0,0.5799106845814834
64,60.0,constant,0.7,1.167631226049189
