restoring,transit,intervals,critical_copy_coefficient,critical_cost_at_unit_funding
0.0,0.0,8,0.16804608922386993,5.9507484203801155
0.0,0.0,16,0.17179560994428855,5.820870511908245
0.0,0.0,32,0.17370480447692935,5.756893155668675
0.0,10.0,8,0.284444188482212,3.5156281635985547
0.0,10.0,16,0.28750382721153805,3.478214567433307
0.0,10.0,32,0.28900466753528226,3.460151728787972
0.0,40.0,8,0.9277934246207956,1.0778261339895963
0.0,40.0,16,0.9304057692368372,1.0747998701902368
0.0,40.0,32,0.9319986167092768,1.072962965900984
0.7,0.0,8,0.36527318765450373,2.737676987520522
0.7,0.0,16,0.3579561044037437,2.7936386269085274
0.7,0.0,32,0.35378860286759867,2.8265466775769443
0.7,10.0,8,0.45776663080931945,2.1845192128400144
0.7,10.0,16,0.4496811956757662,2.223797680704066
0.7,10.0,32,0.4451552834017602,2.246407124179818
0.7,40.0,8,0.8859960745909311,1.1286731721263044
0.7,40.0,16,0.881968118920065,1.1338278318092272
0.7,40.0,32,0.8796693658744841,1.1367907520638674
