q,dt,lo,hi,count,drift,cluster_se
0.5,0.001953125,1,1.5,33067,-0.07079907776360693,0.13531695707436778
0.5,0.001953125,1.5,2,33497,-0.12091797987310254,0.14899145036795763
0.5,0.001953125,2,2.5,30709,-0.1798607555339271,0.1686365461630025
0.5,0.001953125,2.5,3,24179,-0.612832452415958,0.19288560000318258
0.5,0.00048828125,1,1.5,144660,0.06010817616195065,0.1325598851665111
0.5,0.00048828125,1.5,2,134959,0.05161757760818066,0.12947364076892373
0.5,0.00048828125,2,2.5,121966,-0.005600513692672071,0.15612886683830168
0.5,0.00048828125,2.5,3,103502,-0.09823282595897012,0.1687002904967913
1.0,0.001953125,1,1.5,39175,-0.10250084631696739,0.14094070469347636
1.0,0.001953125,1.5,2,34117,-0.10067218465978328,0.17104145333067278
1.0,0.001953125,2,2.5,27626,-0.417874663453034,0.21833906181319157
1.0,0.001953125,2.5,3,18578,-0.8427990135995975,0.30059091263408305
1.0,0.00048828125,1,1.5,172820,0.08944889687998502,0.13335905142269272
1.0,0.00048828125,1.5,2,137024,-0.025564882548105936,0.15479156745388567
1.0,0.00048828125,2,2.5,109064,0.15963844345705938,0.20023247607353228
1.0,0.00048828125,2.5,3,81922,-0.2976440759015051,0.2542419870106369
1.5,0.001953125,1,1.5,45150,-0.1414504218332763,0.13562478819461007
1.5,0.001953125,1.5,2,34140,-0.22566614148704986,0.2143242417094103
1.5,0.001953125,2,2.5,24286,-0.35310047733126637,0.28350454925473983
1.5,0.001953125,2.5,3,13619,-1.2679209911468625,0.41328173879610725
1.5,0.00048828125,1,1.5,201657,0.1008113005764616,0.13483243745266538
1.5,0.00048828125,1.5,2,135469,0.14246476068499847,0.18078526028386308
1.5,0.00048828125,2,2.5,95789,0.07642406586455251,0.2755043195422318
1.5,0.00048828125,2.5,3,63260,-0.7102279215018935,0.3659198744971248
2.5,0.001953125,1,1.5,56193,-0.15441702547025307,0.14990102107277606
2.5,0.001953125,1.5,2,31821,-0.7146001446979664,0.29638321390611805
2.5,0.001953125,2,2.5,17304,0.2092921661334767,0.4967276468487057
2.5,0.001953125,2.5,3,6138,-2.8646805148375414,1.0668698920000166
2.5,0.00048828125,1,1.5,256752,0.16310671243792504,0.14016464769918197
2.5,0.00048828125,1.5,2,125557,0.1593814071033818,0.2597283903589315
2.5,0.00048828125,2,2.5,68819,-0.012645090698030374,0.5005162790672981
2.5,0.00048828125,2.5,3,33602,-2.1603171224712736,0.9487504101506723
