q,dt,initial,time,replicas,occupancy_cdf_error,flow_cdf_error,reference_ess,reference_seed_cdf_difference
0.5,0.00048828125,low,16.0,256,0.01754943081755339,0.01812234917273292,99999.9696075631,0.0011906750893684315
0.5,0.00048828125,low,32.0,256,0.020725070222734066,0.020328395364093477,99999.9696075631,0.0011906750893684315
0.5,0.00048828125,middle,16.0,256,0.02371768279105918,0.02340104074447491,99999.9696075631,0.0011906750893684315
0.5,0.00048828125,middle,32.0,256,0.011576894193850329,0.015255216927774207,99999.9696075631,0.0011906750893684315
0.5,0.00048828125,high,16.0,256,0.025697168177235552,0.032888795939408744,99999.9696075631,0.0011906750893684315
0.5,0.00048828125,high,32.0,256,0.009382551568967834,0.011053495495548682,99999.9696075631,0.0011906750893684315
1.0,0.00048828125,low,16.0,256,0.014198474854556567,0.012070468051619265,99999.99208929537,0.0014546584400222384
1.0,0.00048828125,low,32.0,256,0.020553243022235046,0.020583769125617213,99999.99208929537,0.0014546584400222384
1.0,0.00048828125,middle,16.0,256,0.020989156810560683,0.019955071371445032,99999.99208929537,0.0014546584400222384
1.0,0.00048828125,middle,32.0,256,0.012189866460193821,0.015226751468976119,99999.99208929537,0.0014546584400222384
1.0,0.00048828125,high,16.0,256,0.025072481721423512,0.0339930693214584,99999.99208929537,0.0014546584400222384
1.0,0.00048828125,high,32.0,256,0.009417955877332629,0.014157841609066635,99999.99208929537,0.0014546584400222384
1.5,0.00048828125,low,16.0,256,0.017333632243008656,0.01577242552286684,99999.94185150595,0.0014452894243847103
1.5,0.00048828125,low,32.0,256,0.019731570700137868,0.014766409517471768,99999.94185150595,0.0014452894243847103
1.5,0.00048828125,middle,16.0,256,0.01589208626847849,0.023238438086288338,99999.94185150595,0.0014452894243847103
1.5,0.00048828125,middle,32.0,256,0.013019435125917855,0.01490916754247329,99999.94185150595,0.0014452894243847103
1.5,0.00048828125,high,16.0,256,0.02678633757002835,0.03178527865513958,99999.94185150595,0.0014452894243847103
1.5,0.00048828125,high,32.0,256,0.01335713273584671,0.012805560824806106,99999.94185150595,0.0014452894243847103
2.5,0.00048828125,low,16.0,256,0.02277864989025935,0.01953994944836085,99999.8638600829,0.0013493814565370688
2.5,0.00048828125,low,32.0,256,0.02332825601949462,0.019111435922046838,99999.8638600829,0.0013493814565370688
2.5,0.00048828125,middle,16.0,256,0.012578274958396807,0.014809194195722464,99999.8638600829,0.0013493814565370688
2.5,0.00048828125,middle,32.0,256,0.021497731781448315,0.016290580491596596,99999.8638600829,0.0013493814565370688
2.5,0.00048828125,high,16.0,256,0.026307092689841882,0.0335243294296631,99999.8638600829,0.0013493814565370688
2.5,0.00048828125,high,32.0,256,0.01492936399207126,0.010692797514371577,99999.8638600829,0.0013493814565370688
