q,upper,initial,time,occupancy_sampling_radius_95,flow_sampling_radius_95
0.5,3,low,16.0,0.0302734375,0.030682043296850973
0.5,3,low,32.0,0.02978515625,0.031148902247326325
0.5,3,middle,16.0,0.02880859375,0.030058527513223778
0.5,3,middle,32.0,0.02734375,0.029400270480876782
0.5,3,high,16.0,0.0302734375,0.032293052533010014
0.5,3,high,32.0,0.0283203125,0.02992958542246183
1.0,3,low,16.0,0.02978515625,0.03024822020394595
1.0,3,low,32.0,0.02880859375,0.03076185277785428
1.0,3,middle,16.0,0.029296875,0.030370268063632754
1.0,3,middle,32.0,0.02783203125,0.030761142951244803
1.0,3,high,16.0,0.03076171875,0.03197139249509593
1.0,3,high,32.0,0.02783203125,0.029822764983892348
1.5,3,low,16.0,0.02978515625,0.030947758110343535
1.5,3,low,32.0,0.0283203125,0.03080335058604034
1.5,3,middle,16.0,0.02880859375,0.030612673268535836
1.5,3,middle,32.0,0.02880859375,0.031207334197211677
1.5,3,high,16.0,0.0302734375,0.032218687560213066
1.5,3,high,32.0,0.0283203125,0.03023165416474876
2.5,3,low,16.0,0.0283203125,0.030585170773832916
2.5,3,low,32.0,0.0283203125,0.03121579263420458
2.5,3,middle,16.0,0.029296875,0.03151555956921413
2.5,3,middle,32.0,0.02880859375,0.03248088271992125
2.5,3,high,16.0,0.0302734375,0.032743340510131155
2.5,3,high,32.0,0.02783203125,0.030507913636062804
