step,material_sweeps,mass,bonds,accepted_exchanges,largest_dense_component,initial_overlap
100,1,411,702,38,115,0.948905109489051
200,2,411,711,28,115,0.9562043795620438
300,3,411,713,20,115,0.9464720194647201
400,4,411,714,20,115,0.9464720194647201
500,5,411,716,24,114,0.9440389294403893
600,6,411,717,24,114,0.948905109489051
700,7,411,717,22,114,0.9440389294403893
800,8,411,719,21,113,0.9318734793187348
900,9,411,722,24,114,0.9367396593673966
1000,10,411,723,19,114,0.9391727493917275
1100,11,411,725,17,113,0.9343065693430657
1200,12,411,727,17,112,0.9343065693430657
1300,13,411,728,14,112,0.927007299270073
1400,14,411,728,15,112,0.9318734793187348
1500,15,411,730,15,112,0.927007299270073
1600,16,411,732,13,111,0.9343065693430657
1700,17,411,732,8,112,0.9391727493917275
1800,18,411,732,9,112,0.9318734793187348
1900,19,411,734,10,112,0.9343065693430657
2000,20,411,736,10,111,0.9367396593673966
2100,21,411,736,8,111,0.9391727493917275
2200,22,411,736,8,111,0.9391727493917275
2300,23,411,737,9,112,0.9416058394160584
2400,24,411,737,7,112,0.9367396593673966
2500,25,411,737,8,111,0.9391727493917275
2600,26,411,737,10,110,0.9343065693430657
2700,27,411,737,8,112,0.9367396593673966
2800,28,411,737,9,110,0.9343065693430657
2900,29,411,738,10,111,0.9391727493917275
3000,30,411,739,9,113,0.9367396593673966
3100,31,411,739,9,111,0.9367396593673966
3200,32,411,739,8,112,0.9391727493917275
3300,33,411,739,7,111,0.9367396593673966
3400,34,411,739,7,112,0.9367396593673966
3500,35,411,739,7,111,0.9367396593673966
3600,36,411,739,8,113,0.9367396593673966
3700,37,411,739,9,111,0.9367396593673966
3800,38,411,739,9,112,0.9391727493917275
3900,39,411,739,8,111,0.9367396593673966
4000,40,411,740,9,111,0.9367396593673966
4100,41,411,740,8,111,0.9343065693430657
4200,42,411,740,7,111,0.9318734793187348
4300,43,411,740,7,111,0.9367396593673966
4400,44,411,740,7,111,0.9318734793187348
4500,45,411,740,7,111,0.9391727493917275
4600,46,411,740,7,112,0.9343065693430657
4700,47,411,740,7,111,0.9367396593673966
4800,48,411,740,6,111,0.9318734793187348
4900,49,411,740,6,111,0.9343065693430657
5000,50,411,740,7,111,0.9318734793187348
5100,51,411,740,6,111,0.9367396593673966
5200,52,411,740,7,111,0.9318734793187348
5300,53,411,740,7,112,0.9391727493917275
5400,54,411,740,8,111,0.9343065693430657
5500,55,411,740,8,111,0.9391727493917275
5600,56,411,740,8,111,0.9294403892944039
5700,57,411,740,8,111,0.9391727493917275
5800,58,411,740,8,111,0.9343065693430657
5900,59,411,740,7,111,0.9391727493917275
6000,60,411,740,8,111,0.9367396593673966
6100,61,411,740,8,112,0.9391727493917275
6200,62,411,740,8,111,0.9367396593673966
6300,63,411,740,7,111,0.9391727493917275
6400,64,411,740,8,111,0.9318734793187348
6500,65,411,740,7,112,0.9391727493917275
6600,66,411,740,7,111,0.9367396593673966
6700,67,411,740,7,112,0.9391727493917275
6800,68,411,740,6,111,0.9367396593673966
6900,69,411,740,6,111,0.9391727493917275
7000,70,411,740,7,111,0.9318734793187348
7100,71,411,740,6,111,0.9343065693430657
7200,72,411,740,8,111,0.9343065693430657
7300,73,411,740,8,111,0.9367396593673966
7400,74,411,740,8,111,0.9367396593673966
7500,75,411,740,8,112,0.9391727493917275
7600,76,411,740,8,111,0.9367396593673966
7700,77,411,740,7,111,0.9391727493917275
7800,78,411,740,7,111,0.9367396593673966
7900,79,411,740,9,112,0.9367396593673966
8000,80,411,740,8,112,0.9367396593673966
8100,81,411,740,7,111,0.9367396593673966
8200,82,411,740,6,111,0.9294403892944039
8300,83,411,740,7,111,0.9391727493917275
8400,84,411,740,8,111,0.9343065693430657
8500,85,411,740,8,111,0.9416058394160584
8600,86,411,740,8,111,0.9343065693430657
8700,87,411,740,9,111,0.9391727493917275
8800,88,411,740,9,112,0.9318734793187348
8900,89,411,740,10,112,0.9367396593673966
9000,90,411,740,9,112,0.9343065693430657
9100,91,411,740,9,113,0.9391727493917275
9200,92,411,740,8,111,0.9367396593673966
9300,93,411,740,9,112,0.9391727493917275
9400,94,411,740,7,111,0.9343065693430657
9500,95,411,740,9,111,0.9367396593673966
9600,96,411,740,8,111,0.9343065693430657
9700,97,411,740,9,111,0.9343065693430657
9800,98,411,740,9,111,0.9343065693430657
9900,99,411,740,9,111,0.9391727493917275
10000,100,411,740,8,111,0.9367396593673966
10100,101,411,740,10,111,0.9318734793187348
10200,102,411,741,10,112,0.9367396593673966
10300,103,411,741,7,111,0.9367396593673966
10400,104,411,741,9,111,0.9343065693430657
10500,105,411,741,7,111,0.9343065693430657
10600,106,411,741,10,112,0.9343065693430657
10700,107,411,741,9,111,0.9343065693430657
10800,108,411,742,8,111,0.9318734793187348
10900,109,411,742,7,110,0.9367396593673966
11000,110,411,742,7,110,0.9318734793187348
11100,111,411,742,7,110,0.9367396593673966
11200,112,411,742,7,110,0.9318734793187348
11300,113,411,742,8,111,0.9367396593673966
11400,114,411,742,8,110,0.9294403892944039
11500,115,411,742,6,111,0.9343065693430657
11600,116,411,742,7,110,0.9343065693430657
11700,117,411,742,6,110,0.9367396593673966
11800,118,411,742,7,110,0.9343065693430657
11900,119,411,742,7,110,0.9343065693430657
12000,120,411,742,7,112,0.9343065693430657
12100,121,411,742,7,110,0.9367396593673966
12200,122,411,742,7,111,0.9343065693430657
12300,123,411,742,7,110,0.9343065693430657
12400,124,411,742,6,110,0.9343065693430657
12500,125,411,742,7,111,0.9343065693430657
12600,126,411,742,7,111,0.9343065693430657
12700,127,411,743,7,110,0.9367396593673966
12800,128,411,743,5,110,0.9343065693430657
12900,129,411,743,5,110,0.9367396593673966
13000,130,411,743,5,110,0.9343065693430657
13100,131,411,743,6,111,0.9343065693430657
13200,132,411,743,5,110,0.9343065693430657
13300,133,411,743,5,110,0.9343065693430657
13400,134,411,743,5,110,0.9343065693430657
13500,135,411,743,5,110,0.9343065693430657
13600,136,411,743,6,110,0.9318734793187348
