step,material_sweeps,mass,bonds,accepted_exchanges,largest_dense_component,initial_overlap
100,1,1599,80,1532,0,0.7598499061913696
200,2,1599,102,1450,0,0.6766729205753595
300,3,1599,127,1400,0,0.6216385240775485
400,4,1599,145,1354,0,0.590368980612883
500,5,1599,160,1325,0,0.5509693558474046
600,6,1599,174,1295,0,0.5203252032520326
700,7,1599,192,1264,0,0.4903064415259537
800,8,1599,198,1235,0,0.4659161976235147
900,9,1599,206,1226,0,0.44090056285178236
1000,10,1599,219,1213,0,0.43026891807379614
1100,11,1599,224,1190,0,0.41088180112570355
1200,12,1599,228,1186,0,0.40212632895559725
1300,13,1599,244,1170,0,0.3802376485303315
1400,14,1599,255,1148,0,0.383364602876798
1500,15,1599,269,1129,0,0.37460913070669166
1600,16,1599,278,1104,0,0.3714821763602251
1700,17,1599,288,1087,0,0.37273295809881174
1800,18,1599,299,1059,0,0.35709818636647905
1900,19,1599,306,1049,0,0.35709818636647905
2000,20,1599,312,1031,0,0.35584740462789244
2100,21,1599,318,1013,0,0.3514696685428393
2200,22,1599,324,1013,0,0.3464665415884928
2300,23,1599,328,1005,0,0.3452157598499062
2400,24,1599,334,998,0,0.34896810506566606
2500,25,1599,341,997,0,0.3383364602876798
2600,26,1599,350,973,0,0.324577861163227
2700,27,1599,355,964,0,0.3239524702939337
2800,28,1599,356,949,0,0.32770481550969355
2900,29,1599,364,952,0,0.3252032520325203
3000,30,1599,369,937,0,0.32770481550969355
3100,31,1599,373,927,0,0.3302063789868668
3200,32,1599,380,915,0,0.3308317698561601
3300,33,1599,386,914,0,0.3220762976860538
3400,34,1599,392,902,0,0.31144465290806755
3500,35,1599,395,894,0,0.3089430894308943
3600,36,1599,401,884,0,0.3064415259537211
3700,37,1599,404,878,0,0.3008130081300813
3800,38,1599,409,871,0,0.30393996247654786
3900,39,1599,415,859,0,0.2970606629143214
4000,40,1599,419,863,0,0.2951844903064415
4100,41,1599,422,848,0,0.28893058161350843
4200,42,1599,430,857,0,0.2933083176985616
4300,43,1599,433,835,0,0.28893058161350843
4400,44,1599,440,831,0,0.29205753595997497
4500,45,1599,446,830,0,0.29143214509068166
4600,46,1599,451,819,0,0.2933083176985616
4700,47,1599,454,811,0,0.2970606629143214
4800,48,1599,456,800,0,0.2970606629143214
4900,49,1599,459,796,0,0.2964352720450281
5000,50,1599,468,798,0,0.2926829268292683
5100,51,1599,472,788,0,0.29768605378361473
5200,52,1599,474,779,0,0.29018136335209505
5300,53,1599,478,777,0,0.2851782363977486
5400,54,1599,482,769,0,0.2858036272670419
5500,55,1599,484,768,0,0.2864290181363352
5600,56,1599,490,771,0,0.29205753595997497
5700,57,1599,495,754,0,0.29080675422138835
5800,58,1599,499,761,0,0.28205128205128205
5900,59,1599,503,742,0,0.2801751094434021
6000,60,1599,509,746,0,0.28080050031269543
6100,61,1599,513,738,0,0.28330206378986866
6200,62,1599,519,727,0,0.27454659161976236
6300,63,1599,521,717,0,0.2764227642276423
6400,64,1599,524,713,0,0.27454659161976236
6500,65,1599,529,710,0,0.2795497185741088
6600,66,1599,534,703,0,0.2782989368355222
6700,67,1599,537,702,0,0.2770481550969356
6800,68,1599,539,699,0,0.2776735459662289
6900,69,1599,542,694,0,0.2801751094434021
7000,70,1599,544,699,0,0.27517198248905567
7100,71,1599,547,687,0,0.27267041901188244
7200,72,1599,548,687,0,0.2707942464040025
7300,73,1599,551,688,0,0.27204502814258913
7400,74,1599,554,678,0,0.27204502814258913
7500,75,1599,554,674,0,0.2795497185741088
7600,76,1599,557,674,0,0.2701688555347092
7700,77,1599,560,669,0,0.2776735459662289
7800,78,1599,563,667,0,0.2764227642276423
7900,79,1599,564,662,0,0.275797373358349
8000,80,1599,569,661,0,0.2682926829268293
8100,81,1599,570,658,0,0.27204502814258913
8200,82,1599,570,656,0,0.2695434646654159
8300,83,1599,573,652,0,0.267667292057536
8400,84,1599,576,648,0,0.27454659161976236
8500,85,1599,579,644,0,0.275797373358349
8600,86,1599,582,645,0,0.2689180737961226
8700,87,1599,585,642,0,0.26579111944965605
8800,88,1599,587,640,0,0.26391494684177613
8900,89,1599,593,641,0,0.2632895559724828
9000,90,1599,596,630,0,0.26391494684177613
9100,91,1599,596,626,0,0.26454033771106944
9200,92,1599,598,628,0,0.26579111944965605
9300,93,1599,602,633,0,0.2595372107567229
9400,94,1599,603,619,0,0.267667292057536
9500,95,1599,605,617,0,0.2607879924953096
9600,96,1599,606,618,0,0.2632895559724828
9700,97,1599,609,618,0,0.2601626016260163
9800,98,1599,612,605,0,0.2632895559724828
9900,99,1599,613,602,0,0.2570356472795497
10000,100,1599,615,604,0,0.2601626016260163
10100,101,1599,617,600,0,0.25328330206378985
10200,102,1599,618,601,0,0.2607879924953096
10300,103,1599,619,592,0,0.2601626016260163
10400,104,1599,623,585,0,0.26454033771106944
10500,105,1599,625,591,0,0.2614133833646029
10600,106,1599,629,592,0,0.2614133833646029
10700,107,1599,631,585,0,0.2632895559724828
10800,108,1599,635,579,0,0.26391494684177613
