step,material_sweeps,mass,bonds,accepted_exchanges,largest_dense_component,initial_overlap
100,1,1599,2616,425,109,0.9549718574108818
200,2,1599,2552,548,111,0.9405878674171357
300,3,1599,2504,611,111,0.9274546591619762
400,4,1599,2456,620,106,0.9193245778611632
500,5,1599,2390,719,106,0.9093183239524703
600,6,1599,2373,767,109,0.9036898061288305
700,7,1599,2336,797,110,0.892432770481551
800,8,1599,2329,798,109,0.8874296435272045
900,9,1599,2291,834,108,0.8780487804878049
1000,10,1599,2258,875,106,0.8736710444027517
1100,11,1599,2235,916,108,0.8649155722326454
1200,12,1599,2220,948,108,0.8605378361475923
1300,13,1599,2171,945,104,0.851782363977486
1400,14,1599,2162,994,112,0.8455284552845529
1500,15,1599,2146,992,103,0.8411507191994997
1600,16,1599,2100,995,102,0.8342714196372732
1700,17,1599,2108,1061,101,0.8323952470293934
1800,18,1599,2089,1064,104,0.8330206378986866
1900,19,1599,2060,1091,103,0.8267667292057536
2000,20,1599,2055,1148,103,0.815509693558474
2100,21,1599,2044,1106,96,0.8205128205128205
2200,22,1599,2021,1180,101,0.8198874296435272
2300,23,1599,1971,1156,97,0.8117573483427142
2400,24,1599,1962,1191,98,0.8073796122576611
2500,25,1599,1952,1238,96,0.8042526579111945
2600,26,1599,1956,1267,99,0.7986241400875547
2700,27,1599,1966,1210,92,0.7861163227016885
2800,28,1599,1935,1202,94,0.7942464040025016
2900,29,1599,1916,1267,99,0.7961225766103814
3000,30,1599,1885,1281,94,0.7842401500938087
3100,31,1599,1894,1297,91,0.7854909318323953
3200,32,1599,1866,1283,96,0.7786116322701688
3300,33,1599,1833,1310,92,0.7786116322701688
3400,34,1599,1832,1326,88,0.7704815509693559
3500,35,1599,1832,1352,95,0.7679799874921827
3600,36,1599,1825,1334,91,0.7636022514071295
3700,37,1599,1814,1358,92,0.760475297060663
3800,38,1599,1789,1357,97,0.7611006879299562
3900,39,1599,1774,1401,88,0.7598499061913696
4000,40,1599,1773,1389,93,0.7579737335834896
4100,41,1599,1762,1401,89,0.7548467792370231
4200,42,1599,1730,1424,96,0.7498436522826767
4300,43,1599,1750,1481,93,0.7517198248905566
4400,44,1599,1757,1440,90,0.7492182614133833
4500,45,1599,1716,1465,91,0.7454659161976235
4600,46,1599,1706,1507,90,0.7417135709818636
4700,47,1599,1662,1500,85,0.7367104440275172
4800,48,1599,1692,1539,88,0.7410881801125704
4900,49,1599,1698,1514,87,0.7335834896810507
5000,50,1599,1674,1468,94,0.734208880550344
5100,51,1599,1658,1516,91,0.7335834896810507
5200,52,1599,1662,1491,94,0.7273295809881176
5300,53,1599,1654,1515,93,0.724202626641651
5400,54,1599,1641,1561,89,0.7223264540337712
5500,55,1599,1649,1529,87,0.7191994996873046
5600,56,1599,1613,1551,86,0.7204502814258912
5700,57,1599,1567,1546,84,0.717948717948718
5800,58,1599,1589,1603,80,0.7110694183864915
5900,59,1599,1591,1636,90,0.701688555347092
6000,60,1599,1596,1608,84,0.7004377736085053
6100,61,1599,1573,1602,84,0.707942464040025
6200,62,1599,1561,1596,82,0.7029393370856786
6300,63,1599,1543,1599,86,0.7035647279549718
6400,64,1599,1533,1667,82,0.699812382739212
6500,65,1599,1541,1622,76,0.691682301438399
6600,66,1599,1511,1684,75,0.6910569105691057
6700,67,1599,1526,1689,74,0.685428392745466
6800,68,1599,1509,1665,79,0.6879299562226392
6900,69,1599,1530,1691,77,0.6829268292682927
7000,70,1599,1528,1687,82,0.6804252657911195
7100,71,1599,1507,1682,78,0.6829268292682927
7200,72,1599,1480,1734,83,0.6785490931832395
7300,73,1599,1442,1740,80,0.6766729205753595
7400,74,1599,1450,1725,75,0.6766729205753595
7500,75,1599,1456,1794,76,0.6716697936210131
7600,76,1599,1440,1725,77,0.6716697936210131
7700,77,1599,1441,1777,80,0.6666666666666666
7800,78,1599,1422,1817,81,0.6716697936210131
7900,79,1599,1403,1826,82,0.66541588492808
8000,80,1599,1364,1851,78,0.6616635397123202
8100,81,1599,1427,1832,76,0.6585365853658537
8200,82,1599,1374,1744,76,0.651031894934334
8300,83,1599,1347,1829,78,0.6572858036272671
8400,84,1599,1373,1867,80,0.651031894934334
8500,85,1599,1351,1890,73,0.6460287679799875
8600,86,1599,1376,1878,74,0.6385240775484677
8700,87,1599,1357,1864,64,0.642901813633521
8800,88,1599,1342,1869,79,0.6341463414634146
8900,89,1599,1345,1877,63,0.6341463414634146
9000,90,1599,1325,1828,73,0.642901813633521
9100,91,1599,1290,1900,73,0.6404002501563477
9200,92,1599,1290,1876,65,0.6385240775484677
9300,93,1599,1289,1948,60,0.626641651031895
9400,94,1599,1292,1891,67,0.631019387116948
9500,95,1599,1295,1918,70,0.6241400875547217
9600,96,1599,1283,1911,69,0.6253908692933083
9700,97,1599,1273,1933,61,0.6203877423389619
9800,98,1599,1293,1948,74,0.6210131332082551
9900,99,1599,1266,1882,60,0.6191369606003753
10000,100,1599,1265,1956,60,0.6172607879924953
10100,101,1599,1261,1955,62,0.6222639149468417
10200,102,1599,1268,1898,53,0.6178861788617886
10300,103,1599,1267,1888,59,0.6228893058161351
10400,104,1599,1239,1940,66,0.6147592245153221
10500,105,1599,1237,1933,55,0.610381488430269
10600,106,1599,1202,1949,59,0.610381488430269
10700,107,1599,1243,1969,60,0.6116322701688556
10800,108,1599,1254,1953,64,0.6110068792995622
10900,109,1599,1241,1912,60,0.6097560975609756
11000,110,1599,1268,1962,59,0.610381488430269
11100,111,1599,1199,1945,56,0.6147592245153221
11200,112,1599,1211,1962,51,0.6035021888680425
11300,113,1599,1194,1973,58,0.6028767979987493
11400,114,1599,1188,1966,59,0.6016260162601627
11500,115,1599,1177,1978,64,0.5978736710444027
11600,116,1599,1175,1949,59,0.5984990619136961
11700,117,1599,1201,2027,51,0.5966228893058161
11800,118,1599,1137,1926,49,0.5884928080050031
11900,119,1599,1169,1990,42,0.5872420262664165
12000,120,1599,1166,1964,45,0.590368980612883
12100,121,1599,1166,2007,43,0.5884928080050031
12200,122,1599,1128,1998,50,0.5897435897435898
12300,123,1599,1156,2064,52,0.5822388993120701
12400,124,1599,1160,1949,32,0.5853658536585366
12500,125,1599,1155,1998,42,0.5791119449656035
12600,126,1599,1133,1970,52,0.5784865540963102
12700,127,1599,1122,1980,57,0.5766103814884302
12800,128,1599,1101,2008,45,0.575984990619137
12900,129,1599,1139,2031,54,0.5709818636647905
13000,130,1599,1104,2041,43,0.574108818011257
13100,131,1599,1105,2049,47,0.5734834271419638
13200,132,1599,1114,2075,49,0.5753595997498436
13300,133,1599,1124,2056,43,0.5691056910569106
13400,134,1599,1104,2056,36,0.5678549093183239
13500,135,1599,1130,2040,35,0.5678549093183239
13600,136,1599,1110,2002,47,0.5678549093183239
13700,137,1599,1106,2064,30,0.5603502188868043
13800,138,1599,1062,2055,40,0.5565978736710444
13900,139,1599,1073,2124,47,0.5616010006253909
14000,140,1599,1062,2058,44,0.555972482801751
