step,material_sweeps,mass,bonds,accepted_exchanges,largest_dense_component,initial_overlap
100,1,1631,2873,143,114,0.9809932556713673
200,2,1631,2888,125,114,0.976701410177805
300,3,1631,2896,97,114,0.9779276517473943
400,4,1631,2903,93,114,0.9736358062538321
500,5,1631,2909,79,114,0.9711833231146536
600,6,1631,2910,74,114,0.9717964438994482
700,7,1631,2913,84,114,0.9742489270386266
800,8,1631,2915,72,114,0.9742489270386266
900,9,1631,2918,69,114,0.9748620478234212
1000,10,1631,2919,69,113,0.9711833231146536
1100,11,1631,2924,71,114,0.9742489270386266
1200,12,1631,2926,60,113,0.970570202329859
1300,13,1631,2930,61,112,0.9711833231146536
1400,14,1631,2933,60,112,0.9687308399754752
1500,15,1631,2933,57,112,0.9687308399754752
1600,16,1631,2936,56,113,0.9681177191906806
1700,17,1631,2938,47,112,0.9687308399754752
1800,18,1631,2939,56,113,0.967504598405886
1900,19,1631,2940,49,113,0.9681177191906806
2000,20,1631,2940,52,112,0.9681177191906806
2100,21,1631,2941,51,112,0.9656652360515021
2200,22,1631,2943,53,112,0.9681177191906806
2300,23,1631,2944,49,112,0.9650521152667075
2400,24,1631,2945,57,112,0.9662783568362967
2500,25,1631,2946,47,111,0.9656652360515021
2600,26,1631,2947,51,112,0.9650521152667075
2700,27,1631,2947,51,112,0.9638258736971184
2800,28,1631,2949,49,113,0.9638258736971184
2900,29,1631,2952,48,111,0.9619865113427345
3000,30,1631,2952,41,111,0.9625996321275291
3100,31,1631,2952,43,111,0.9625996321275291
3200,32,1631,2952,44,111,0.9638258736971184
3300,33,1631,2952,46,112,0.9625996321275291
3400,34,1631,2952,41,112,0.964438994481913
3500,35,1631,2952,47,111,0.9625996321275291
3600,36,1631,2952,46,112,0.9632127529123238
3700,37,1631,2952,48,111,0.9613733905579399
3800,38,1631,2952,44,112,0.9625996321275291
3900,39,1631,2956,41,112,0.9607602697731453
4000,40,1631,2956,40,112,0.9613733905579399
4100,41,1631,2956,37,112,0.9625996321275291
4200,42,1631,2956,42,112,0.9613733905579399
4300,43,1631,2956,41,112,0.9607602697731453
4400,44,1631,2957,37,112,0.9625996321275291
4500,45,1631,2957,39,112,0.9638258736971184
4600,46,1631,2958,40,112,0.9613733905579399
4700,47,1631,2958,38,111,0.9619865113427345
4800,48,1631,2958,36,112,0.9632127529123238
4900,49,1631,2958,37,112,0.9613733905579399
5000,50,1631,2959,37,112,0.9619865113427345
5100,51,1631,2959,35,112,0.9607602697731453
5200,52,1631,2959,37,112,0.9619865113427345
5300,53,1631,2960,36,112,0.9613733905579399
5400,54,1631,2960,35,112,0.9625996321275291
5500,55,1631,2960,35,112,0.9607602697731453
5600,56,1631,2960,35,112,0.9632127529123238
5700,57,1631,2960,35,112,0.9625996321275291
5800,58,1631,2960,35,112,0.9625996321275291
5900,59,1631,2960,35,112,0.9619865113427345
6000,60,1631,2960,33,112,0.9619865113427345
6100,61,1631,2960,37,112,0.9613733905579399
6200,62,1631,2960,38,112,0.9625996321275291
6300,63,1631,2960,39,112,0.9625996321275291
6400,64,1631,2960,36,112,0.9632127529123238
6500,65,1631,2961,36,112,0.9619865113427345
6600,66,1631,2961,38,112,0.9632127529123238
6700,67,1631,2961,36,112,0.9625996321275291
6800,68,1631,2961,36,112,0.9632127529123238
6900,69,1631,2961,35,112,0.9619865113427345
7000,70,1631,2961,35,112,0.9625996321275291
7100,71,1631,2961,34,112,0.9632127529123238
7200,72,1631,2961,36,112,0.9619865113427345
7300,73,1631,2961,35,112,0.9607602697731453
7400,74,1631,2961,36,112,0.9607602697731453
7500,75,1631,2961,39,112,0.9619865113427345
7600,76,1631,2961,37,112,0.9607602697731453
7700,77,1631,2961,38,112,0.9619865113427345
7800,78,1631,2961,37,112,0.9632127529123238
7900,79,1631,2961,36,112,0.9625996321275291
