q,base_r100,base_r1e8,n40_r1e8
0.00,0.295816024604,0.292893221742,0.298070891199
0.01,0.294709756968,0.291660669259,0.296869152528
0.02,0.293594169295,0.29041348573,0.295653148586
0.03,0.292469216384,0.289151411063,0.294422625786
0.04,0.291334855091,0.287874179012,0.293177324537
0.05,0.290191044436,0.286581516992,0.291916979067
0.06,0.28903774571,0.285273145889,0.290641317242
0.07,0.287874922587,0.283948779871,0.289350060374
0.08,0.286702541237,0.282608126181,0.288042923026
0.09,0.28552057044,0.281250884931,0.286719612808
0.10,0.284328981707,0.27987674889,0.285379830167
0.11,0.283127749397,0.278485403252,0.284023268171
0.12,0.281916850839,0.277076525415,0.28264961228
0.13,0.28069626646,0.275649784735,0.281258540116
0.14,0.279465979904,0.274204842279,0.279849721222
0.15,0.278225978165,0.272741350573,0.278422816809
0.16,0.276976251712,0.271258953333,0.276977479499
0.17,0.275716794624,0.269757285191,0.275513353061
0.18,0.274447604718,0.268235971413,0.274030072128
0.19,0.273168683682,0.266694627607,0.272527261916
0.20,0.271880037214,0.265132859413,0.271004537928
0.21,0.270581675152,0.263550262201,0.269461505646
0.22,0.269273611609,0.261946420736,0.267897760217
0.23,0.267955865116,0.260320908853,0.266312886131
0.24,0.26662845875,0.25867328911,0.264706456882
0.25,0.265291420277,0.257003112435,0.263078034624
0.26,0.263944782285,0.25530991776,0.261427169816
0.27,0.262588582322,0.253593231653,0.259753400861
0.28,0.261222863029,0.251852567926,0.258056253728
0.29,0.259847672277,0.250087427254,0.256335241573
0.30,0.258463063298,0.248297296767,0.254589864347
0.31,0.257069094818,0.246481649646,0.252819608404
0.32,0.255665831188,0.244639944713,0.251023946095
0.33,0.254253342511,0.242771626014,0.249202335363
0.34,0.252831704768,0.240876122399,0.247354219339
0.35,0.251400999938,0.23895284711,0.245479025932
0.36,0.249961316124,0.237001197363,0.243576167429
0.37,0.248512747666,0.235020553948,0.2416450401
0.38,0.247055395251,0.233010280836,0.239685023815
0.39,0.245589366029,0.230969724803,0.237695481683
0.40,0.244114773711,0.228898215088,0.235675759711
0.41,0.242631738673,0.226795063075,0.233625186499
0.42,0.241140388046,0.224659562025,0.231543072974
0.43,0.239640855811,0.222490986857,0.229428712186
0.44,0.238133282875,0.220288594009,0.227281379158
0.45,0.236617817156,0.218051621367,0.225100330833
0.46,0.235094613645,0.215779288316,0.222884806108
0.47,0.233563834476,0.213470795906,0.220634026008
0.48,0.232025648978,0.21112532717,0.218347193991
0.49,0.230480233724,0.208742047632,0.216023496442
0.50,0.228927772571,0.206320106026,0.213662103376
0.51,0.227368456693,0.203858635274,0.211262169392
0.52,0.225802484602,0.201356753771,0.208822834926
0.53,0.224230062162,0.198813567025,0.206343227849
0.54,0.222651402596,0.196228169722,0.203822465479
0.55,0.221066726477,0.193599648275,0.201259657068
0.56,0.219476261713,0.190927083941,0.198653906842
0.57,0.217880243525,0.188209556605,0.19600431769
0.58,0.216278914406,0.185446149314,0.193309995581
0.59,0.214672524079,0.18263595368,0.190570054838
0.60,0.213061329434,0.179778076288,0.187783624381
0.61,0.211445594464,0.176871646221,0.184949855065
0.62,0.209825590179,0.173915823866,0.18206792827
0.63,0.208201594521,0.170909811164,0.179137065885
0.64,0.206573892254,0.167852863451,0.176156541865
0.65,0.204942774856,0.164744303091,0.173125695514
0.66,0.203308540387,0.161583535062,0.170043946685
0.67,0.201671493351,0.158370064686,0.166910813069
0.68,0.200031944553,0.155103517672,0.16372592973
0.69,0.198390210929,0.151783662622,0.160489071057
0.70,0.19674661538,0.148410436152,0.157200175248
0.71,0.195101486585,0.144983970695,0.153859371428
0.72,0.193455158805,0.141504625054,0.150467009427
0.73,0.191807971682,0.137973017652,0.147023692211
0.74,0.190160270016,0.134390062375,0.143530310815
0.75,0.188512403546,0.130757006754,0.139988081585
0.76,0.186864726704,0.127075472126,0.136398585323
0.77,0.185217598377,0.123347495219,0.132763807839
0.78,0.183571381647,0.119575570435,0.129086181175
0.79,0.181926443526,0.115762691896,0.125368624598
0.80,0.180283154686,0.111912394064,0.121614584212
0.81,0.178641889179,0.10802878955,0.117828069812
0.82,0.177003024145,0.104116602448,0.114013687387
0.83,0.175366939525,0.100181195347,0.110176665464
0.84,0.173734017754,0.0962285879826,0.106322873283
0.85,0.172104643461,0.0922654653695,0.102458828735
